movie_id,image_url,movie_title,year_released
boy-2010,sm/upload/jg/1w/mr/tr/s7dlUplCgyr3vT853W9vxB91SX-0-230-0-345-crop,Boy,2010.0
double-jeopardy-1999,film-poster/4/6/2/6/8/46268-double-jeopardy-0-230-0-345-crop,Double Jeopardy,1999.0
tenacious-d-in-the-pick-of-destiny,sm/upload/ea/1o/mo/8n/tenacious-d-the-pick-of-destiny-0-230-0-345-crop,Tenacious D in The Pick of Destiny,2006.0
omen-iv-the-awakening,film-poster/4/0/7/7/6/40776-omen-iv-the-awakening-0-230-0-345-crop,Omen IV: The Awakening,1991.0
the-grandmaster,film-poster/2/0/3/3/6/20336-the-grandmaster-0-230-0-345-crop,The Grandmaster,2013.0
the-set-up,film-poster/4/1/1/2/2/41122-the-set-up-0-230-0-345-crop,The Set-Up,1949.0
lilith,film-poster/6/1/6/0/6160-lilith-0-230-0-345-crop,Lilith,1964.0
speedy,film-poster/3/7/8/0/2/37802-speedy-0-230-0-345-crop,Speedy,1928.0
13,film-poster/2/0/2/3/1/20231-13-0-230-0-345-crop,13,2010.0
the-beastmaster,film-poster/4/1/5/4/9/41549-the-beastmaster-0-230-0-345-crop,The Beastmaster,1982.0
pather-panchali,film-poster/4/8/6/4/9/48649-pather-panchali-0-230-0-345-crop,Pather Panchali,1955.0
wolf-hall,film-poster/2/4/7/3/9/6/247396-wolf-hall-0-230-0-345-crop,Wolf Hall,2015.0
because-i-said-so,sm/upload/sv/qi/0p/2o/a7fBuvCoPPP5RQMZuPN25OT4rk9-0-230-0-345-crop,Because I Said So,2007.0
tome-of-the-unknown,film-poster/2/5/1/4/9/4/251494-tome-of-the-unknown-0-230-0-345-crop,Tome of the Unknown,2013.0
another-gay-movie,film-poster/4/4/2/8/9/44289-another-gay-movie-0-230-0-345-crop,Another Gay Movie,2006.0
invader-zim-enter-the-florpus,film-poster/4/0/4/2/5/1/404251-invader-zim-enter-the-florpus-0-230-0-345-crop,Invader ZIM: Enter the Florpus,2019.0
humoresque,film-poster/3/5/1/1/3/35113-humoresque-0-230-0-345-crop,Humoresque,1946.0
valparaiso-1963,film-poster/6/5/8/7/5/65875-valparaiso-0-230-0-345-crop,Valparaiso,1963.0
the-skeleton-key,film-poster/4/6/7/2/1/46721-the-skeleton-key-0-230-0-345-crop,The Skeleton Key,2005.0
white-palace,film-poster/2/3/9/9/3/23993-white-palace-0-230-0-345-crop,White Palace,1990.0
olympia-part-one-festival-of-the-nations,film-poster/5/1/4/4/7/51447-olympia-part-one-festival-of-the-nations-0-230-0-345-crop,Olympia Part One: Festival of the Nations,1938.0
mahjong,film-poster/1/1/6/5/9/11659-mahjong-0-230-0-345-crop,Mahjong,1996.0
wheres-poppa,film-poster/2/2/5/1/5/22515-where-s-poppa--0-230-0-345-crop,Where’s Poppa?,1970.0
the-water-diviner,film-poster/1/8/0/7/1/2/180712-the-water-diviner-0-230-0-345-crop,The Water Diviner,2014.0
the-ambassador,film-poster/7/0/5/9/8/70598-the-ambassador-0-230-0-345-crop,The Ambassador,2011.0
invention-for-destruction,film-poster/3/9/4/2/9/39429-invention-for-destruction-0-230-0-345-crop,Invention for Destruction,1958.0
night-moves,film-poster/3/0/7/0/1/30701-night-moves-0-230-0-345-crop,Night Moves,1975.0
kamikaze-girls,film-poster/3/5/4/4/3/35443-kamikaze-girls-0-230-0-345-crop,Kamikaze Girls,2004.0
naked-killer,film-poster/3/4/9/7/2/34972-naked-killer-0-230-0-345-crop,Naked Killer,1992.0
strange-behavior,film-poster/2/4/8/3/9/24839-strange-behavior-0-230-0-345-crop,Strange Behavior,1981.0
cutie-honey,film-poster/3/8/7/0/8/38708-cutie-honey-0-230-0-345-crop,Cutie Honey,2004.0
chungking-express,film-poster/4/5/6/0/2/45602-chungking-express-0-230-0-345-crop,Chungking Express,1994.0
the-evictors,film-poster/8/1/1/8/1/81181-the-evictors-0-230-0-345-crop,The Evictors,1979.0
the-new-romantic,film-poster/4/2/8/0/6/0/428060-the-new-romantic-0-230-0-345-crop,The New Romantic,2018.0
the-ornithologist,film-poster/3/1/2/5/1/1/312511-the-ornithologist-0-230-0-345-crop,The Ornithologist,2016.0
the-dark-tapes,film-poster/3/2/5/5/0/6/325506-the-dark-tapes-0-230-0-345-crop,The Dark Tapes,2016.0
thor-ragnarok,film-poster/2/0/9/3/8/2/209382-thor-ragnarok-0-230-0-345-crop,Thor: Ragnarok,2017.0
babes-in-arms,film-poster/3/0/3/0/7/30307-babes-in-arms-0-230-0-345-crop,Babes in Arms,1939.0
the-music-box,film-poster/2/0/3/1/0/20310-the-music-box-0-230-0-345-crop,The Music Box,1932.0
friendly-persuasion,film-poster/2/1/8/8/8/21888-friendly-persuasion-0-230-0-345-crop,Friendly Persuasion,1956.0
the-christmas-chronicles-part-two,film-poster/5/7/9/5/1/0/579510-the-christmas-chronicles-part-two-0-230-0-345-crop,The Christmas Chronicles: Part Two,2020.0
tanner-hall,film-poster/5/7/6/1/5/57615-tanner-hall-0-230-0-345-crop,Tanner Hall,2009.0
oasis-of-fear,film-poster/3/3/6/336-oasis-of-fear-0-230-0-345-crop,Oasis of Fear,1971.0
goodbye-mr-chips,film-poster/2/2/2/4/3/22243-goodbye-mr-chips-0-230-0-345-crop,"Goodbye, Mr. Chips",1939.0
mickeys-trailer,film-poster/1/2/7/1/4/12714-mickey-s-trailer-0-230-0-345-crop,Mickey's Trailer,1938.0
star-trek-ii-the-wrath-of-khan,film-poster/5/1/8/9/7/51897-star-trek-ii-the-wrath-of-khan-0-230-0-345-crop,Star Trek II: The Wrath of Khan,1982.0
